,tokens,h,t,relation,relation_definition,r_pid,has_relation,relation_prop_wiki,possible_probs
1658,"['He', 'was', 'succeeded', 'by', 'his', 'son', ',', 'Radu', 'cel', 'Mare', ',', 'who', 'would', 'reign', 'until', '1508', ',', 'when', 'he', 'was', 'ousted', 'by', 'his', 'first', 'cousin', 'Mihnea', 'cel', 'Rău', ',', 'son', 'of', 'Vlad', 'the', 'Impaler', '.']","['mihnea cel rău', 'Q715428', [[25, 26, 27]]]","['vlad the impaler', 'Q43715', [[31, 32, 33]]]",father,"male parent of the subject. For stepfather, use ""stepparent"" (P3448)",P22,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q715428'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q43715'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q715428'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q43715'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P22'}}]","['P40', 'P22']"
1659,"['He', 'also', 'substituted', 'the', 'son', 'of', 'a', 'milkman', 'for', 'Ajit', 'Singh', ',', 'raised', 'the', 'child', 'as', 'if', 'he', 'was', 'the', 'rightful', 'heir', 'to', 'Jaswant', 'Singh', 'and', 'denounced', 'the', 'real', 'heir', 'as', 'an', 'imposter', '.']","['ajit singh', 'Q4699809', [[9, 10]]]","['jaswant singh', 'Q5117540', [[23, 24]]]",father,"male parent of the subject. For stepfather, use ""stepparent"" (P3448)",P22,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q4699809'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q5117540'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q4699809'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q5117540'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P1366'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q4699809'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q5117540'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P22'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q4699809'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q5117540'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P1365'}}]","['P40', 'P22']"
1660,"['He', 'was', 'the', 'son', 'of', 'the', 'celebrated', 'painter', ',', 'Juliusz', 'Kossak', 'and', 'twin', 'of', 'another', 'noted', 'painter', ',', 'Wojciech', 'Kossak', '.']","['wojciech kossak', 'Q727637', [[18, 19]]]","['juliusz kossak', 'Q956091', [[9, 10]]]",father,"male parent of the subject. For stepfather, use ""stepparent"" (P3448)",P22,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q727637'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q956091'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P22'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q727637'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q956091'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}]","['P22', 'P40']"
1661,"['Mary', ',', 'the', 'third', 'child', 'of', 'William', 'of', 'Orange', 'and', 'Anna', 'of', 'Egmont', ',', 'founded', 'in', '1612', 'the', 'orphanage', 'in', 'Buren', ',', 'serving', 'the', 'following', '350', 'years', '.']","['mary', 'Q459440', [[0]]]","['william of orange', 'Q78454', [[6, 7, 8]]]",father,"male parent of the subject. For stepfather, use ""stepparent"" (P3448)",P22,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q459440'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q78454'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q459440'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q78454'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P22'}}]","['P40', 'P22']"
1662,"['Edward', 'Hay', '-', 'Drummond', 'was', 'a', 'son', 'of', 'Robert', 'Hay', 'Drummond', ',', 'who', 'was', 'a', 'son', 'of', 'the', '8th', 'Earl', 'of', 'Kinnoull', '(', '23', 'June', '1689', '–', '1', 'September', '1709', ')', '.']","['robert hay drummond', 'Q772812', [[8, 9, 10]]]","['the 8th earl of kinnoull', 'Q5540335', [[17, 18, 19, 20, 21]]]",father,"male parent of the subject. For stepfather, use ""stepparent"" (P3448)",P22,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q772812'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q5540335'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P22'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q772812'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q5540335'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}]","['P22', 'P40']"
1663,"['On', '28', 'February', '2011', ',', 'she', 'interviewed', 'Muammar', 'Gaddafi', 'and', 'his', 'sons', 'Saif', 'al', '-', 'Islam', 'and', 'Al', '-', 'Saadi', 'Gaddafi', '.']","['al-saadi gaddafi', 'Q310406', [[17, 18, 19, 20]]]","['muammar gaddafi', 'Q19878', [[7, 8]]]",father,"male parent of the subject. For stepfather, use ""stepparent"" (P3448)",P22,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q310406'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q19878'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P22'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q310406'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q19878'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}]","['P22', 'P40']"
1664,"['Arthur', 'Grey', 'was', 'the', 'eldest', 'son', 'of', 'The', '13th', 'Baron', 'Grey', 'de', 'Wilton', 'and', 'Mary', ',', 'daughter', 'of', 'The', '1st', 'Earl', 'of', 'Worcester', '.']","['arthur grey', 'Q4798891', [[0, 1]]]","['the 13th baron grey de wilton', 'Q8010201', [[7, 8, 9, 10, 11, 12]]]",father,"male parent of the subject. For stepfather, use ""stepparent"" (P3448)",P22,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q4798891'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q8010201'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q4798891'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q8010201'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P22'}}]","['P40', 'P22']"
1665,"['In', 'Greek', 'mythology', ',', 'Doryclus', 'is', 'a', 'son', 'of', 'king', 'Priam', 'mentioned', 'in', 'Homer', ""'s"", '""', 'Iliad', '""', ',', 'Hyginus', ""'s"", 'Fabulae', 'and', 'the', '""', 'Bibliotheca', '""', '.']","['doryclus', 'Q3037285', [[4]]]","['priam', 'Q170473', [[10]]]",father,"male parent of the subject. For stepfather, use ""stepparent"" (P3448)",P22,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q3037285'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q170473'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q3037285'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q170473'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P22'}}]","['P40', 'P22']"
1666,"['On', '15', 'March', '963', ',', 'Emperor', 'Romanos', 'II', '(', 'r.', '959–963', ')', 'unexpectedly', 'died', ',', 'leaving', 'his', 'young', 'sons', 'Basil', 'II', 'and', 'Constantine', 'VIII', 'as', 'emperors', '.']","['basil ii', 'Q41833', [[19, 20]]]","['romanos ii', 'Q41847', [[6, 7]]]",father,"male parent of the subject. For stepfather, use ""stepparent"" (P3448)",P22,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q41833'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q41847'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q41833'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q41847'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P22'}}]","['P40', 'P22']"
1667,"['He', 'was', 'the', 'third', 'husband', 'of', 'Lucy', 'Beall', 'Candler', 'Owens', 'Heinz', 'Leide', '(', '1883', '-', '1962', ')', ',', 'daughter', 'of', 'Coca', '-', 'Cola', 'founder', 'Asa', 'Griggs', 'Candler', '.']","['lucy beall candler owens heinz leide', 'Q6698198', [[6, 7, 8, 9, 10, 11]]]","['asa griggs candler', 'Q744866', [[24, 25, 26]]]",father,"male parent of the subject. For stepfather, use ""stepparent"" (P3448)",P22,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q6698198'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q744866'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P22'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q6698198'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q744866'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}]","['P22', 'P40']"
1668,"['In', 'the', 'upper', 'section', 'is', 'portrayed', 'Theodelinda', 'offering', 'to', 'John', 'the', 'Baptist', 'the', 'Iron', 'Crown', 'of', 'Lombardy', ',', 'together', 'with', 'her', 'kneeling', 'husband', 'Agilulf', 'and', 'their', 'children', 'Adaloald', 'and', 'Gundeberga', '.']","['adaloald', 'Q315194', [[27]]]","['agilulf', 'Q315276', [[23]]]",father,"male parent of the subject. For stepfather, use ""stepparent"" (P3448)",P22,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q315194'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q315276'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P22'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q315194'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q315276'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}]","['P22', 'P40']"
1669,"['(', 'Tian', 'Xu', ""'s"", 'father', 'Tian', 'Chengsi', 'had', 'been', 'the', 'first', 'military', 'governor', 'of', 'Weibo', ',', 'but', 'chose', 'Tian', 'Yue', 'to', 'be', 'his', 'successor', 'rather', 'than', 'any', 'of', 'his', 'sons', '.', ')']","['tian xu', 'Q7800144', [[1, 2]]]","['tian chengsi', 'Q4260397', [[5, 6]]]",father,"male parent of the subject. For stepfather, use ""stepparent"" (P3448)",P22,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q7800144'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q4260397'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P22'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q7800144'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q4260397'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}]","['P22', 'P40']"
1670,"['After', 'King', 'Paul', ""'s"", 'death', ',', 'Peter', 'found', 'himself', 'at', 'odds', 'with', 'Paul', ""'s"", 'son', 'and', 'successor', ',', 'King', 'Constantine', 'II', '.']","['king constantine ii', 'Q151773', [[18, 19, 20]]]","['king paul', 'Q155394', [[1, 2]]]",father,"male parent of the subject. For stepfather, use ""stepparent"" (P3448)",P22,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q151773'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q155394'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P22'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q151773'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q155394'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}]","['P22', 'P40']"
1671,"['She', 'was', 'the', 'daughter', 'of', 'King', 'Henry', 'II', 'of', 'France', 'and', 'Catherine', 'de', ""'"", 'Medici', 'and', 'the', 'sister', 'of', 'kings', 'Francis', 'II', ',', 'Charles', 'IX', 'and', 'Henry', 'III', '.']","['henry iii', 'Q53448', [[26, 27]]]","['henry ii of france', 'Q132545', [[6, 7, 8, 9]]]",father,"male parent of the subject. For stepfather, use ""stepparent"" (P3448)",P22,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q53448'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q132545'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P22'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q53448'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q132545'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}]","['P22', 'P40']"
1672,"['On', '10', 'August', '1697', 'he', 'married', 'Penelope', 'Cadogan', '(', 'd.', '1746', ')', ',', 'sister', 'of', 'William', 'Cadogan', ',', '1st', 'Earl', 'Cadogan', ',', 'and', 'daughter', 'of', 'Henry', 'Cadogan', '.']","['william cadogan, 1st earl cadogan', 'Q3278281', [[15, 16, 17, 18, 19, 20]]]","['henry cadogan', 'Q4400917', [[25, 26]]]",father,"male parent of the subject. For stepfather, use ""stepparent"" (P3448)",P22,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q3278281'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q4400917'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P22'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q3278281'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q4400917'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}]","['P22', 'P40']"
1673,"['John', 'de', 'Ros', 'married', 'Margery', 'le', 'Despencer', ',', 'daughter', 'and', 'heiress', 'of', 'Philip', 'le', 'Despencer', ',', '2nd', 'Baron', 'le', 'Despencer', ',', 'but', 'had', 'no', 'issue', 'by', 'her', '.']","['margery le despencer', 'Q6760316', [[4, 5, 6]]]","['philip le despencer, 2nd baron le despencer', 'Q7184614', [[12, 13, 14, 15, 16, 17, 18, 19]]]",father,"male parent of the subject. For stepfather, use ""stepparent"" (P3448)",P22,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q6760316'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q7184614'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P22'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q6760316'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q7184614'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}]","['P22', 'P40']"
1674,"['Pratapnarayan', 'was', 'the', 'only', 'child', 'of', 'Rudranarayan', 'and', 'Bhavashankari', '.']","['pratapnarayan', 'Q7238622', [[0]]]","['rudranarayan', 'Q7377511', [[6]]]",father,"male parent of the subject. For stepfather, use ""stepparent"" (P3448)",P22,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q7238622'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q7377511'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q7238622'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q7377511'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P22'}}]","['P40', 'P22']"
1675,"['In', 'her', 'first', 'marriage', ',', 'she', 'was', 'married', 'to', 'stage', 'and', 'film', 'director', 'Pål', 'Løkkeberg', '(', '1934–1998', ')', ',', 'and', 'is', 'thus', 'a', 'daughter', '-', 'in', '-', 'law', 'of', 'Rønnaug', 'Alten', 'and', 'Georg', 'Løkkeberg', '.']","['pål løkkeberg', 'Q7264635', [[13, 14]]]","['georg løkkeberg', 'Q4585965', [[32, 33]]]",father,"male parent of the subject. For stepfather, use ""stepparent"" (P3448)",P22,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q7264635'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q4585965'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q7264635'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q4585965'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P22'}}]","['P40', 'P22']"
1676,"['According', 'to', 'the', 'violinist', 'and', 'conductor', 'Angus', 'Watson', ',', 'these', 'were', 'probably', 'Franz', 'Weiss', 'on', 'viola', 'and', 'either', 'Nikolaus', 'Kraft', 'or', 'his', 'father', 'Anton', 'on', 'cello', '.']","['nikolaus kraft', 'Q2918118', [[18, 19]]]","['anton', 'Q591251', [[23]]]",father,"male parent of the subject. For stepfather, use ""stepparent"" (P3448)",P22,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q2918118'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q591251'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P22'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q2918118'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q591251'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}]","['P22', 'P40']"
1677,"['Victor', 'Amadeus', 'organised', 'the', 'first', 'two', 'marriages', 'of', 'Charles', 'Emmanuel', 'the', 'first', 'one', 'being', 'to', 'Anne', 'Christine', 'of', 'Sulzbach', ',', 'daughter', 'of', 'the', 'Count', 'Palatine', 'of', 'Sulzbach', 'which', 'produced', 'a', 'son', 'which', 'died', 'in', 'infancy', '.']","['anne christine of sulzbach', 'Q62104', [[15, 16, 17, 18]]]","['count palatine of sulzbach', 'Q63534', [[23, 24, 25, 26]]]",father,"male parent of the subject. For stepfather, use ""stepparent"" (P3448)",P22,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q62104'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q63534'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P22'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q62104'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q63534'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}]","['P22', 'P40']"
1678,"['Gozlin', ""'s"", 'sons', 'were', 'Godfrey', ',', 'known', 'as', '""', 'the', 'Captive', '""', ',', 'and', 'Adalbero', ',', 'Archbishop', 'of', 'Reims', 'from', '969', '.']","['godfrey', 'Q1059993', [[4]]]","['gozlin', 'Q711295', [[0]]]",father,"male parent of the subject. For stepfather, use ""stepparent"" (P3448)",P22,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q1059993'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q711295'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P22'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q1059993'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q711295'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}]","['P22', 'P40']"
1679,"['Bertha', 'was', 'the', 'daughter', 'of', 'Charibert', 'I', ',', 'one', 'of', 'the', 'Merovingian', 'kings', 'of', 'the', 'Franks', '.']","['bertha', 'Q238352', [[0]]]","['charibert i', 'Q243453', [[5, 6]]]",father,"male parent of the subject. For stepfather, use ""stepparent"" (P3448)",P22,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q238352'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q243453'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P22'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q238352'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q243453'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}]","['P22', 'P40']"
1680,"['Zedekiah', 'was', 'the', 'third', 'son', 'of', 'Josiah', ',', 'and', 'his', 'mother', 'was', 'Hamutal', 'the', 'daughter', 'of', 'Jeremiah', 'of', 'Libnah', ',', 'thus', 'he', 'was', 'the', 'brother', 'of', 'Jehoahaz', '(', ',', ',', ',', ')', '.']","['jehoahaz', 'Q336832', [[26]]]","['josiah', 'Q313228', [[6]]]",father,"male parent of the subject. For stepfather, use ""stepparent"" (P3448)",P22,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q336832'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q313228'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q336832'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q313228'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P22'}}]","['P40', 'P22']"
1681,"['She', 'is', 'the', 'wife', 'of', 'Emmy', 'award', '-', 'winning', 'writer', ',', 'producer', ',', 'and', 'composer', ',', 'Buz', 'Kohan', ',', 'and', 'mother', 'of', 'twins', 'Jono', 'and', 'David', ',', 'and', 'Jenji', 'Kohan', '.']","['jenji kohan', 'Q846557', [[28, 29]]]","['buz kohan', 'Q5003407', [[16, 17]]]",father,"male parent of the subject. For stepfather, use ""stepparent"" (P3448)",P22,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q846557'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q5003407'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P22'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q846557'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q5003407'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}]","['P22', 'P40']"
1682,"['Emperor', 'Gaozong', 'died', 'in', '683', 'and', 'was', 'succeeded', 'by', 'Li', 'Dan', ""'s"", 'older', 'brother', 'Li', 'Zhe', 'the', 'Crown', 'Prince', '(', 'as', 'Emperor', 'Zhongzong', ')', ',', 'but', 'Empress', 'Wu', 'retained', 'power', 'as', 'empress', 'dowager', 'and', 'regent', '.']","['li zhe', 'Q9717', [[14, 15]]]","['emperor gaozong', 'Q9703', [[0, 1]]]",father,"male parent of the subject. For stepfather, use ""stepparent"" (P3448)",P22,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q9717'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q9703'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q9717'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q9703'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P22'}}]","['P40', 'P22']"
1683,"['Jelena', 'married', 'Stjepan', 'Vukčić', 'Kosača', 'and', 'was', 'mother', 'of', 'Queen', 'Catherine', 'of', 'Bosnia', 'and', 'Vladislav', 'Hercegović', '.']","['vladislav hercegović', 'Q1312290', [[14, 15]]]","['stjepan vukčić kosača', 'Q1312266', [[2, 3, 4]]]",father,"male parent of the subject. For stepfather, use ""stepparent"" (P3448)",P22,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q1312290'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q1312266'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q1312290'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q1312266'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P22'}}]","['P40', 'P22']"
1684,"['Gilman', ""'s"", 'odd', 'experiences', 'seem', 'to', 'escalate', 'as', 'he', 'dreams', 'that', 'he', 'signs', 'the', '""', 'Book', 'of', 'Azathoth', '""', 'under', 'the', 'commands', 'of', 'Keziah', ',', 'Brown', 'Jenkin', ',', 'and', 'the', 'infamous', '""', 'Black', 'Man', '.', '""']","['black man', 'Q621416', [[32, 33]]]","['azathoth', 'Q1056509', [[17]]]",father,"male parent of the subject. For stepfather, use ""stepparent"" (P3448)",P22,True,"[{'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q621416'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q1056509'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P40'}}, {'from': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q621416'}, 'to': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q1056509'}, 'prop': {'type': 'uri', 'value': 'http://www.wikidata.org/prop/direct/P22'}}]","['P40', 'P22']"
